date,cum_diagnoses,new_diagnoses,cum_severe,new_severe,cum_deaths,new_deaths,new_tests,new_tests_fb,CELR_tests
2021-05-01,,,,,,,407053.4065714286,2035267.0328571429,1201983.0
2021-05-02,,,,,,,400937.04042857146,2004685.2021428572,1192368.0
2021-05-03,,,,,,,400350.456,2001752.28,1177903.0
2021-05-04,,,,,,,395630.6828571428,1978153.414285714,1156165.0
2021-05-05,,,,,,,391745.68242857145,1958728.4121428572,1148993.0
2021-05-06,4689911.57142857,36471.42857142857,319154.71428571426,3859.428571428571,83345.42857142858,624.1428571428571,390677.5667142858,1953387.833571429,1133056.0
2021-05-07,,,,,,,385507.3105714286,1927536.552857143,1113842.0
2021-05-08,,,,,,,381885.2965714286,1909426.4828571428,1106560.0
2021-05-09,,,,,,,379498.61400000006,1897493.07,1101290.0
2021-05-10,,,,,,,374781.3158571429,1873906.5792857143,1095884.0
2021-05-11,,,,,,,372736.551,1863682.755,1083432.0
2021-05-12,,,,,,,370995.08442857146,1854975.4221428572,1056793.0
2021-05-13,4720014.142857142,30102.571428571428,322486.8571428571,3332.1428571428573,83928.00000000001,582.5714285714286,371067.2035714286,1855336.017857143,1040348.0
2021-05-14,,,,,,,369614.51057142863,1848072.552857143,1026750.0
2021-05-15,,,,,,,365908.56814285717,1829542.8407142856,1017398.0
2021-05-16,,,,,,,363600.0342857144,1818000.1714285717,1012773.0
2021-05-17,,,,,,,360336.4615714286,1801682.3078571428,1003775.0
2021-05-18,,,,,,,357836.6172857143,1789183.0864285715,986241.0
2021-05-19,,,,,,,353471.3678571429,1767356.8392857143,962500.0
2021-05-20,4743234.857142856,23220.714285714286,325460.14285714284,2973.285714285714,84495.85714285716,567.8571428571429,358765.4918571429,1793827.4592857142,935325.0
2021-05-21,,,,,,,365115.4649999999,1825577.3249999995,920995.0
2021-05-22,,,,,,,375571.57157142856,1877857.8578571428,909752.0
2021-05-23,,,,,,,383889.8580000001,1919449.2900000005,903384.0
2021-05-24,,,,,,,395164.341,1975821.705,891252.0
2021-05-25,,,,,,,402786.64800000004,2013933.24,871066.0
2021-05-26,,,,,,,412827.4401428571,2064137.2007142853,852560.0
2021-05-27,4759412.714285714,16177.857142857143,327906.14285714284,2446.0,85025.14285714287,529.2857142857143,411379.470857143,2056897.354285715,841026.0
2021-05-28,,,,,,,412700.8285714286,2063504.142857143,820018.0
2021-05-29,,,,,,,407917.94528571423,2039589.7264285712,801457.0
2021-05-30,,,,,,,407074.2908571428,2035371.454285714,794246.0
2021-05-31,,,,,,,405689.47885714285,2028447.394285714,737388.0
2021-06-01,,,,,,,403014.06985714287,2015070.3492857143,685208.0
2021-06-02,,,,,,,402590.4535714286,2012952.267857143,693214.0
2021-06-03,4773793.999999999,14381.285714285714,330015.14285714284,2109.0,85420.00000000001,394.8571428571428,399079.35728571424,1995396.7864285712,702193.0
2021-06-04,,,,,,,394738.4665714286,1973692.332857143,706659.0
2021-06-05,,,,,,,393325.84971428575,1966629.2485714287,712055.0
2021-06-06,,,,,,,388084.0071428572,1940420.0357142857,713345.0
2021-06-07,,,,,,,378980.5140000001,1894902.5700000003,760299.0
2021-06-08,,,,,,,379843.1528571428,1899215.764285714,785690.0
2021-06-09,,,,,,,375806.78142857144,1879033.907142857,751291.0
2021-06-10,4786294.142857142,12500.142857142857,331930.8571428571,1915.7142857142856,85753.57142857145,333.57142857142856,373922.2174285715,1869611.0871428573,722103.0
2021-06-11,,,,,,,372758.1235714286,1863790.6178571428,706754.0
2021-06-12,,,,,,,372901.47557142866,1864507.377857143,698020.0
2021-06-13,,,,,,,373209.0827142857,1866045.4135714285,694721.0
2021-06-14,,,,,,,376773.7757142857,1883868.8785714284,688230.0
2021-06-15,,,,,,,376392.6540000001,1881963.2700000005,680216.0
2021-06-16,,,,,,,376456.7588571429,1882283.7942857144,669426.0
2021-06-17,4798045.57142857,11751.42857142857,333688.14285714284,1757.2857142857142,86044.57142857145,291.0,372191.3061428571,1860956.5307142856,660488.0
2021-06-18,,,,,,,373637.4981428571,1868187.4907142855,650314.0
2021-06-19,,,,,,,370273.6054285716,1851368.0271428577,641766.0
2021-06-20,,,,,,,370048.47471428575,1850242.3735714287,639952.0
2021-06-21,,,,,,,372608.7467142857,1863043.7335714283,636120.0
2021-06-22,,,,,,,370477.5737142858,1852387.8685714288,629268.0
2021-06-23,,,,,,,368308.9928571429,1841544.9642857143,625278.0
2021-06-24,4811461.57142857,13416.0,335547.2857142857,1859.142857142857,86316.85714285716,272.2857142857143,371268.678,1856343.39,621222.0
2021-06-25,,,,,,,367513.4948571429,1837567.4742857143,618333.0
2021-06-26,,,,,,,365282.28942857153,1826411.4471428576,617727.0
2021-06-27,,,,,,,365293.14642857143,1826465.732142857,618498.0
2021-06-28,,,,,,,362272.4301428572,1811362.150714286,615657.0
2021-06-29,,,,,,,360305.00785714295,1801525.0392857145,603367.0
2021-06-30,,,,,,,359148.06557142857,1795740.3278571428,591325.0
2021-07-01,4827114.999999998,15653.42857142857,337663.2857142857,2116.0,86558.28571428572,241.42857142857144,359572.2428571429,1797861.2142857143,583662.0
2021-07-02,,,,,,,354878.3511428572,1774391.755714286,573469.0
2021-07-03,,,,,,,357351.0835714286,1786755.4178571429,566946.0
2021-07-04,,,,,,,358657.0067142857,1793285.0335714284,555711.0
2021-07-05,,,,,,,354094.74257142853,1770473.7128571426,520664.0
2021-07-06,,,,,,,350604.18642857147,1753020.9321428572,505290.0
2021-07-07,,,,,,,353138.5487142858,1765692.7435714288,519166.0
2021-07-08,4852586.142857141,25471.14285714286,340459.8571428571,2796.5714285714284,86830.42857142858,272.14285714285717,350234.8975714286,1751174.487857143,531007.0
2021-07-09,,,,,,,353594.97171428567,1767974.8585714283,540223.0
2021-07-10,,,,,,,356304.9788571429,1781524.8942857145,545894.0
2021-07-11,,,,,,,351627.7568571429,1758138.7842857144,557658.0
2021-07-12,,,,,,,353053.2295714286,1765266.1478571428,597917.0
2021-07-13,,,,,,,356386.503,1781932.515,619752.0
2021-07-14,,,,,,,353971.81757142855,1769859.0878571426,617664.0
2021-07-15,4893701.571428569,41115.42857142857,344350.8571428571,3891.0,87111.71428571429,281.2857142857143,356291.9815714286,1781459.9078571429,623965.0
2021-07-16,,,,,,,361354.74728571426,1806773.7364285712,632521.0
2021-07-17,,,,,,,358665.74228571425,1793328.7114285713,638458.0
2021-07-18,,,,,,,363860.4608571429,1819302.3042857144,646370.0
2021-07-19,,,,,,,366779.9378571429,1833899.6892857144,656737.0
2021-07-20,,,,,,,369337.78671428567,1846688.9335714283,679480.0
2021-07-21,,,,,,,373063.40657142864,1865317.032857143,703135.0
2021-07-22,4958448.428571426,64746.857142857145,350051.8571428571,5701.0,87449.14285714286,337.42857142857144,373323.4418571429,1866617.2092857144,724269.0
2021-07-23,,,,,,,370101.60000000003,1850508.0,746531.0
2021-07-24,,,,,,,372733.8874285714,1863669.437142857,764521.0
2021-07-25,,,,,,,375892.34571428574,1879461.7285714285,778137.0
2021-07-26,,,,,,,379028.661,1895143.305,795818.0
2021-07-27,,,,,,,382121.4068571429,1910607.0342857144,815121.0
2021-07-28,,,,,,,385770.66000000003,1928853.3,841136.0
2021-07-29,5054226.285714284,95777.85714285714,357991.8571428571,7940.0,87882.42857142857,433.2857142857143,392355.3904285715,1961776.9521428572,869318.0
2021-07-30,,,,,,,399002.0005714286,1995010.002857143,893704.0
2021-07-31,,,,,,,406893.6205714287,2034468.1028571432,909841.0
2021-08-01,,,,,,,411827.49771428574,2059137.4885714285,920782.0
2021-08-02,,,,,,,423911.4471428571,2119557.2357142856,947415.0
2021-08-03,,,,,,,442681.81414285715,2213409.0707142856,980467.0
2021-08-04,,,,,,,457927.9791428572,2289639.895714286,1010829.0
2021-08-05,5183076.857142855,128850.57142857143,368151.57142857136,10159.714285714286,88577.85714285713,695.4285714285714,473888.66957142856,2369443.347857143,1049241.0
2021-08-06,,,,,,,492757.86214285716,2463789.310714286,1089713.0
2021-08-07,,,,,,,510726.4752857143,2553632.3764285715,1124297.0
2021-08-08,,,,,,,531825.6947142858,2659128.473571429,1145176.0
2021-08-09,,,,,,,546540.1731428573,2732700.865714286,1168510.0
2021-08-10,,,,,,,557429.1831428572,2787145.915714286,1193110.0
2021-08-11,,,,,,,571093.4271428571,2855467.1357142855,1223469.0
2021-08-12,5325896.857142855,142820.0,379706.8571428571,11555.285714285714,89451.57142857142,873.7142857142857,584362.6092857143,2921813.0464285715,1245349.0
2021-08-13,,,,,,,597281.9018571429,2986409.5092857145,1273151.0
2021-08-14,,,,,,,605348.3652857142,3026741.826428571,1290978.0
2021-08-15,,,,,,,612700.0204285714,3063500.102142857,1302560.0
2021-08-16,,,,,,,621894.9424285715,3109474.7121428573,1323880.0
2021-08-17,,,,,,,627024.9291428572,3135124.645714286,1348083.0
2021-08-18,,,,,,,633347.304857143,3166736.5242857146,1372773.0
2021-08-19,5470119.428571427,144222.57142857142,391771.57142857136,12064.714285714286,90574.28571428572,1122.7142857142858,639654.2742857144,3198271.3714285716,1389337.0
2021-08-20,,,,,,,646030.6332857143,3230153.166428571,1391734.0
