Date Time,rolling_avg_avg_1_days,rolling_med_avg_1_days,rolling_avg_med_1_days,rolling_med_med_1_days,rolling_avg_avg_2_days,rolling_med_avg_2_days,rolling_avg_med_2_days,rolling_med_med_2_days,rolling_avg_avg_3_days,rolling_med_avg_3_days,rolling_avg_med_3_days,rolling_med_med_3_days,rolling_avg_avg_5_days,rolling_med_avg_5_days,rolling_avg_med_5_days,rolling_med_med_5_days,rolling_avg_avg_7_days,rolling_med_avg_7_days,rolling_avg_med_7_days,rolling_med_med_7_days,rolling_avg_avg_10_days,rolling_med_avg_10_days,rolling_avg_med_10_days,rolling_med_med_10_days,rolling_avg_avg_14_days,rolling_med_avg_14_days,rolling_avg_med_14_days,rolling_med_med_14_days,rolling_avg_avg_21_days,rolling_med_avg_21_days,rolling_avg_med_21_days,rolling_med_med_21_days,rolling_avg_avg_30_days,rolling_med_avg_30_days,rolling_avg_med_30_days,rolling_med_med_30_days
9/15/21,122.65625,122.65625,15.0,15.0,122.1147358786611,122.1147358786611,22.5,22.5,105.98551533104329,121.57322175732217,25.0,30.0,152.02781713513394,121.57322175732217,88.0,30.0,162.48949809654945,121.57322175732217,116.42857142857143,30.0,151.75411817115773,121.00349829587964,89.0,30.0,152.89557436462172,125.48806736311239,77.5,30.0,168.2591907555146,152.21862348178138,97.38095238095238,30.0,181.90155628696678,186.9430045187143,112.16666666666667,120.0
9/16/21,122.45478723404256,122.45478723404256,15.0,15.0,122.55551861702128,122.55551861702128,15.0,15.0,122.22808633045486,122.45478723404256,20.0,15.0,89.18226664543451,121.57322175732217,19.0,15.0,168.52650906487497,122.45478723404256,116.42857142857143,30.0,149.79212025904798,121.00349829587964,87.5,22.5,148.36049159948578,122.55551861702128,70.0,30.0,163.03725754687923,144.5429553264605,89.52380952380952,30.0,179.08822123777892,180.97592282548032,108.66666666666667,120.0
9/17/21,104.97819314641744,104.97819314641744,15.0,15.0,113.71649019022999,113.71649019022999,15.0,15.0,116.69641012681994,122.45478723404256,15.0,15.0,109.077905274718,121.57322175732217,21.0,15.0,141.08172372230422,121.57322175732217,67.14285714285714,15.0,148.24656209024604,119.58968780173801,86.0,15.0,146.6932279152138,122.01400449568237,70.0,30.0,156.78064900732463,142.07476635514018,81.66666666666667,30.0,175.5493378582008,175.9322427818003,103.16666666666667,120.0
9/18/21,128.11805555555554,128.11805555555554,30.0,30.0,116.54812435098648,116.54812435098648,22.5,22.5,118.51701197867179,122.45478723404256,20.0,15.0,119.95610153866753,122.45478723404256,21.0,15.0,97.00108313273506,121.57322175732217,20.0,15.0,149.2977522611862,122.01400449568237,87.5,22.5,144.11679806957525,122.01400449568237,70.0,30.0,153.06008022425584,128.31988472622479,77.38095238095238,30.0,172.83462897558937,170.02332962654063,100.16666666666667,120.0
9/19/21,149.30555555555554,149.30555555555554,30.0,30.0,138.71180555555554,138.71180555555554,30.0,30.0,127.46726808584278,128.11805555555554,25.0,30.0,125.50256829831422,122.65625,21.0,15.0,117.54473392638586,122.45478723404256,23.571428571428573,30.0,156.20873677116535,122.55551861702128,89.0,30.0,144.4569838002249,122.01400449568237,70.0,30.0,151.22034177016408,128.31988472622479,73.0952380952381,30.0,170.35466741025044,158.2033484381384,95.16666666666667,75.0
9/20/21,141.11458333333334,141.11458333333334,30.0,30.0,145.21006944444446,145.21006944444446,30.0,30.0,139.5127314814814,141.11458333333334,30.0,30.0,129.1942349649809,128.11805555555554,24.0,30.0,127.17152094031806,122.65625,23.571428571428573,30.0,140.61102605005743,122.55551861702128,56.0,30.0,144.38839929866725,122.01400449568237,70.0,30.0,150.6915779535713,128.31988472622479,68.80952380952381,30.0,166.9044478574804,150.76208951866846,90.16666666666667,30.0
9/21/21,102.68150684931507,102.68150684931507,15.0,15.0,121.8980450913242,121.8980450913242,22.5,22.5,131.03388191273459,141.11458333333334,25.0,30.0,125.23957888803538,128.11805555555554,24.0,30.0,124.47270452488848,122.65625,21.428571428571427,15.0,107.21092276673497,122.01400449568237,21.5,22.5,143.12038015687284,122.01400449568237,68.92857142857143,22.5,147.199940198538,128.11805555555554,63.80952380952381,30.0,162.65822535851814,146.92425544100803,86.66666666666667,30.0
9/22/21,139.807881773399,139.807881773399,15.0,15.0,121.24469431135704,121.24469431135704,15.0,15.0,127.86799065201575,139.807881773399,20.0,15.0,132.2055166134317,139.807881773399,24.0,30.0,126.92293763537405,128.11805555555554,21.428571428571427,15.0,120.64171094407486,122.55551861702128,22.5,22.5,144.70621786596178,122.55551861702128,68.92857142857143,22.5,144.23802878820584,128.11805555555554,58.80952380952381,30.0,161.45653522234528,143.30886084080032,83.16666666666667,30.0
9/23/21,95.32044198895028,95.32044198895028,15.0,15.0,117.56416188117464,117.56416188117464,15.0,15.0,112.60327687055474,102.68150684931507,15.0,15.0,125.64599390011065,139.807881773399,21.0,15.0,123.04660260036087,128.11805555555554,21.428571428571427,15.0,122.80104771938909,122.55551861702128,21.0,15.0,145.78655583261795,122.55551861702128,68.92857142857143,22.5,139.92252859977748,122.65625,53.80952380952381,30.0,157.71612088956633,141.59467484423675,77.66666666666667,30.0
9/24/21,113.86581469648563,113.86581469648563,15.0,15.0,104.59312834271796,104.59312834271796,15.0,15.0,116.33137948627825,113.86581469648563,15.0,15.0,118.55804572829668,113.86581469648563,18.0,15.0,124.3162628217992,128.11805555555554,21.428571428571427,15.0,122.03030701330545,122.55551861702128,19.5,15.0,132.69899327205172,122.01400449568237,44.285714285714285,15.0,139.23423955074227,122.45478723404256,53.80952380952381,30.0,154.3696608666287,140.4612325533662,74.16666666666667,30.0
9/25/21,154.62611275964392,154.62611275964392,15.0,15.0,134.24596372806477,134.24596372806477,15.0,15.0,121.27078981502655,113.86581469648563,15.0,15.0,121.26035161355878,113.86581469648563,15.0,15.0,128.10312813666897,139.807881773399,19.285714285714285,15.0,125.22729328926985,125.28642139479905,19.5,15.0,112.55210563470203,122.01400449568237,19.642857142857142,15.0,138.77890809193983,122.45478723404256,53.095238095238095,15.0,151.786685138104,140.4612325533662,68.66666666666667,30.0
9/26/21,116.75694444444444,116.75694444444444,15.0,15.0,135.69152860204417,135.69152860204417,15.0,15.0,128.4162906335246,116.75694444444444,15.0,15.0,124.07543913258466,116.75694444444444,15.0,15.0,123.45332654936738,116.75694444444444,17.142857142857142,15.0,124.65750901031001,122.4375,19.5,15.0,120.49903023787662,122.01400449568237,20.357142857142858,15.0,137.45576471660576,121.57322175732217,52.38095238095238,15.0,147.7996842036833,134.0638832498119,63.166666666666664,30.0
9/27/21,134.51184834123222,134.51184834123222,15.0,15.0,125.63439639283834,125.63439639283834,15.0,15.0,135.29830184844013,134.51184834123222,15.0,15.0,123.01623244615129,116.75694444444444,15.0,15.0,122.51007869335292,116.75694444444444,15.0,15.0,127.6108745297915,131.31495194839388,19.5,15.0,124.84079981683551,122.55551861702128,19.285714285714285,15.0,137.0956257635625,121.57322175732217,51.666666666666664,15.0,145.4084124817244,131.4158665337285,59.666666666666664,30.0
9/28/21,100.06439393939394,100.06439393939394,15.0,15.0,117.28812114031308,117.28812114031308,15.0,15.0,117.11106224169015,116.75694444444444,15.0,15.0,123.96502283624004,116.75694444444444,15.0,15.0,122.13620542050705,116.75694444444444,15.0,15.0,124.80550836817535,125.63439639283834,18.0,15.0,123.3044549726978,122.55551861702128,18.214285714285715,15.0,136.1256552447509,121.57322175732217,50.95238095238095,15.0,142.47922350998812,128.21897014089018,56.166666666666664,22.5
9/29/21,125.49645390070921,125.49645390070921,15.0,15.0,112.78042392005158,112.78042392005158,15.0,15.0,120.02423206044507,125.49645390070921,15.0,15.0,126.29115067708476,125.49645390070921,15.0,15.0,120.0917157244085,116.75694444444444,15.0,15.0,122.4245982026907,121.12669917257682,16.5,15.0,123.5073266798913,123.97562056737588,18.214285714285715,15.0,136.50138381877736,122.45478723404256,50.95238095238095,15.0,141.5884845239524,126.80725472813238,52.666666666666664,15.0
9/30/21,91.98791540785498,91.98791540785498,15.0,15.0,108.7421846542821,108.7421846542821,15.0,15.0,105.84958774931931,100.06439393939394,15.0,15.0,113.76351120672696,116.75694444444444,15.0,15.0,119.61564049853776,116.75694444444444,15.0,15.0,117.51193141014286,115.31137957046504,15.0,15.0,121.33112154944932,121.12669917257682,18.214285714285715,15.0,137.06291738792456,122.45478723404256,50.95238095238095,15.0,138.78788504738037,124.0763519503546,49.166666666666664,15.0
10/1/21,96.43251533742331,96.43251533742331,15.0,15.0,94.21021537263914,94.21021537263914,15.0,15.0,104.63896154866245,96.43251533742331,15.0,15.0,109.69862538532273,100.06439393939394,15.0,15.0,117.12516916152883,116.75694444444444,15.0,15.0,116.8870322589537,115.31137957046504,15.0,15.0,120.72071599166404,121.12669917257682,18.214285714285715,15.0,127.5077185685441,121.57322175732217,34.523809523809526,15.0,135.268701512282,122.55551861702128,45.666666666666664,15.0
10/2/21,138.55612244897958,138.55612244897958,15.0,15.0,117.49431889320144,117.49431889320144,15.0,15.0,108.9921843980859,96.43251533742331,15.0,15.0,110.5074802068722,100.06439393939394,15.0,15.0,114.82945626000537,116.75694444444444,15.0,15.0,116.76185632651175,115.31137957046504,15.0,15.0,121.46629219833719,121.12669917257682,17.142857142857142,15.0,113.31122250980314,121.57322175732217,18.095238095238095,15.0,133.68904072904982,122.55551861702128,42.166666666666664,15.0
10/3/21,125.9113924050633,125.9113924050633,30.0,30.0,132.23375742702143,132.23375742702143,22.5,22.5,120.30001006382201,125.9113924050633,20.0,15.0,115.67687990000609,125.49645390070921,18.0,15.0,116.13723454009379,125.49645390070921,17.142857142857142,15.0,119.82095136812306,121.12669917257682,16.5,15.0,119.7952805447306,121.12669917257682,17.142857142857142,15.0,119.04509833861567,122.45478723404256,19.285714285714285,15.0,133.60875765167776,122.55551861702128,42.666666666666664,15.0
10/4/21,106.98045602605863,106.98045602605863,30.0,30.0,116.44592421556096,116.44592421556096,30.0,30.0,123.81599029336712,125.9113924050633,25.0,30.0,111.97368032507597,106.98045602605863,21.0,15.0,112.20417849506897,106.98045602605863,19.285714285714285,15.0,119.13241550108037,121.12669917257682,18.0,15.0,117.35712859421098,115.31137957046504,17.142857142857142,15.0,120.62859270957999,122.45478723404256,19.285714285714285,15.0,131.7018370727299,122.01400449568237,42.666666666666664,15.0
10/5/21,105.32352941176471,105.32352941176471,15.0,15.0,106.15199271891167,106.15199271891167,22.5,22.5,112.73845928096216,106.98045602605863,25.0,30.0,114.6408031258579,106.98045602605863,21.0,15.0,112.95548356255051,106.98045602605863,19.285714285714285,15.0,114.20215716629244,111.86870023525154,18.0,15.0,117.5458444915288,115.31137957046504,17.142857142857142,15.0,119.85479783598203,122.45478723404256,18.571428571428573,15.0,130.39452287557333,121.00349829587964,42.166666666666664,15.0
10/6/21,116.05639097744361,116.05639097744361,15.0,15.0,110.68996019460417,110.68996019460417,15.0,15.0,109.45345880508894,106.98045602605863,20.0,15.0,118.56557825386196,116.05639097744361,21.0,15.0,111.60690314494116,106.98045602605863,19.285714285714285,15.0,114.13210181959236,111.51842350175113,18.0,15.0,115.84930943467485,114.96110283696461,17.142857142857142,15.0,119.54051883490791,116.75694444444444,18.571428571428573,15.0,129.5272436963168,119.01996434029547,41.666666666666664,15.0
10/7/21,119.25830258302582,119.25830258302582,15.0,15.0,117.65734678023472,117.65734678023472,15.0,15.0,113.546074324078,116.05639097744361,15.0,15.0,114.70601428067121,116.05639097744361,21.0,15.0,115.50267274139412,116.05639097744361,19.285714285714285,15.0,112.60674724377171,111.51842350175113,18.0,15.0,117.55915661996595,116.40666771094402,17.142857142857142,15.0,119.38830528009761,116.75694444444444,18.571428571428573,15.0,129.4880612879364,118.43222821458983,41.166666666666664,15.0
10/8/21,126.02713178294573,126.02713178294573,15.0,15.0,122.64271718298578,122.64271718298578,15.0,15.0,120.44727511447168,119.25830258302582,15.0,15.0,114.72916215624771,116.05639097744361,18.0,15.0,119.73047509075447,119.25830258302582,19.285714285714285,15.0,115.20302102812688,117.65734678023472,18.0,15.0,118.42782212614168,118.00762351373513,17.142857142857142,15.0,120.39063569136086,119.25830258302582,18.571428571428573,15.0,129.76876055249613,120.41576217017399,41.166666666666664,15.0
10/9/21,136.34420289855072,136.34420289855072,30.0,30.0,131.18566734074824,131.18566734074824,22.5,22.5,127.20987908817403,126.02713178294573,20.0,15.0,120.60191153074611,119.25830258302582,18.0,15.0,119.41448658355034,119.25830258302582,21.428571428571427,15.0,116.28779592791105,117.65734678023472,19.5,15.0,117.12197142177787,118.00762351373513,18.214285714285715,15.0,120.78235699340823,119.25830258302582,18.571428571428573,15.0,131.6403769672557,122.01400449568237,41.666666666666664,15.0
10/10/21,135.06756756756758,135.06756756756758,15.0,15.0,135.70588523305915,135.70588523305915,22.5,22.5,132.4796340830213,135.06756756756758,20.0,15.0,126.55071916190668,126.02713178294573,18.0,15.0,120.72251160676524,119.25830258302582,19.285714285714285,15.0,120.5957611438823,122.58484749404457,19.5,15.0,118.42987307342953,122.37737824186752,18.214285714285715,15.0,120.10435756540883,119.25830258302582,17.857142857142858,15.0,126.23957286802754,122.01400449568237,30.166666666666668,15.0
10/11/21,131.2979797979798,131.2979797979798,30.0,30.0,133.1827736827737,133.1827736827737,22.5,22.5,134.23658342136596,135.06756756756758,25.0,30.0,129.59903692601392,131.2979797979798,21.0,15.0,124.19644357418255,126.02713178294573,19.285714285714285,15.0,124.08230758993795,125.9692620940045,21.0,15.0,118.20031103462578,122.37737824186752,19.285714285714285,15.0,119.6369002542015,119.25830258302582,17.857142857142858,15.0,116.06008753854219,122.01400449568237,19.166666666666668,15.0
10/12/21,150.27962085308056,150.27962085308056,30.0,30.0,140.7888003255302,140.7888003255302,30.0,30.0,138.8817227395426,135.06756756756758,25.0,30.0,135.80330058002488,135.06756756756758,24.0,30.0,130.6187423515134,131.2979797979798,21.428571428571427,15.0,125.25465743034806,125.9692620940045,22.5,22.5,121.78711295703195,125.70392315288626,20.357142857142858,15.0,121.90347711152366,125.49645390070921,18.571428571428573,15.0,120.88607490031156,122.55551861702128,20.0,15.0
10/13/21,121.03363914373088,121.03363914373088,15.0,15.0,135.65662999840572,135.65662999840572,22.5,22.5,134.20374659826368,131.2979797979798,25.0,30.0,134.8046020521819,135.06756756756758,24.0,30.0,131.32977780384013,131.2979797979798,21.428571428571427,15.0,124.7668821042148,123.5303854633383,21.0,15.0,121.46834047439066,123.4725157743971,20.357142857142858,15.0,121.00946555772994,121.03363914373088,18.571428571428573,15.0,122.46296039724233,122.55551861702128,19.5,15.0
10/14/21,122.34650455927051,122.34650455927051,15.0,15.0,121.6900718515007,121.6900718515007,15.0,15.0,131.21992151869392,122.34650455927051,20.0,15.0,132.00506238432587,131.2979797979798,21.0,15.0,131.77094951473222,131.2979797979798,21.428571428571427,15.0,126.30348695753598,124.18681817110811,19.5,15.0,123.6368111280632,124.1289484821669,20.357142857142858,15.0,122.29642091822139,122.34650455927051,18.571428571428573,15.0,122.48873649064059,122.55551861702128,19.0,15.0
