"periods","ave_time","pm_start_date","prop_time"
"B",44.4341017992654,2020-11-01,0.134490053709807
"C",43.8036110684346,2020-11-01,0.132581728148596
"D",19.1314878608959,2020-11-01,0.0579058589185422
"A",67.0203007518797,2020-11-01,0.202852392256902
"a",156,2020-11-01,0.472169966966153
"B",44.4341017992654,2020-10-01,0.134490053709807
"C",43.8036110684346,2020-10-01,0.132581728148596
"D",19.1314878608959,2020-10-01,0.0579058589185422
"A",67.0203007518797,2020-10-01,0.202852392256902
"a",156,2020-10-01,0.472169966966153
"B",44.4341017992654,2020-09-01,0.134490053709807
"C",43.8036110684346,2020-09-01,0.132581728148596
"D",19.1314878608959,2020-09-01,0.0579058589185422
"A",67.0203007518797,2020-09-01,0.202852392256902
"a",156,2020-09-01,0.472169966966153
"B",44.4341017992654,2020-08-01,0.134490053709807
"C",43.8036110684346,2020-08-01,0.132581728148596
"D",19.1314878608959,2020-08-01,0.0579058589185422
"A",67.0203007518797,2020-08-01,0.202852392256902
"a",156,2020-08-01,0.472169966966153
"B",44.4341017992654,2020-07-01,0.134490053709807
"C",43.8036110684346,2020-07-01,0.132581728148596
"D",19.1314878608959,2020-07-01,0.0579058589185422
"A",67.0203007518797,2020-07-01,0.202852392256902
"a",156,2020-07-01,0.472169966966153
"B",44.4341017992654,2020-06-01,0.134490053709807
"C",43.8036110684346,2020-06-01,0.132581728148596
"D",19.1314878608959,2020-06-01,0.0579058589185422
"A",67.0203007518797,2020-06-01,0.202852392256902
"a",156,2020-06-01,0.472169966966153
"B",44.4341017992654,2020-05-01,0.134490053709807
"C",43.8036110684346,2020-05-01,0.132581728148596
"D",19.1314878608959,2020-05-01,0.0579058589185422
"A",67.0203007518797,2020-05-01,0.202852392256902
"a",156,2020-05-01,0.472169966966153
"B",44.4341017992654,2020-04-01,0.134490053709807
"C",43.8036110684346,2020-04-01,0.132581728148596
"D",19.1314878608959,2020-04-01,0.0579058589185422
"A",67.0203007518797,2020-04-01,0.202852392256902
"a",156,2020-04-01,0.472169966966153
"B",44.4341017992654,2020-03-01,0.134490053709807
"C",43.8036110684346,2020-03-01,0.132581728148596
"D",19.1314878608959,2020-03-01,0.0579058589185422
"A",67.0203007518797,2020-03-01,0.202852392256902
"a",156,2020-03-01,0.472169966966153
"B",44.4341017992654,2020-02-01,0.134490053709807
"C",43.8036110684346,2020-02-01,0.132581728148596
"D",19.1314878608959,2020-02-01,0.0579058589185422
"A",67.0203007518797,2020-02-01,0.202852392256902
"a",156,2020-02-01,0.472169966966153
"B",44.4341017992654,2020-01-01,0.134490053709807
"C",43.8036110684346,2020-01-01,0.132581728148596
"D",19.1314878608959,2020-01-01,0.0579058589185422
"A",67.0203007518797,2020-01-01,0.202852392256902
"a",156,2020-01-01,0.472169966966153
